id,uid,candidate_name,key,matched_name
7250,09152,Mian Manazar Hussain Ranjha,uuid:d26d837d-0114-470b-8f8c-5b9c9d751966,Manazer Hussain Ranjha
7256,09153,Mian Mazhar Ali Ranjha,uuid:be947800-4115-44fb-9548-4a77d8789bf6,Mazhar Ali Ranjha
7262,09155,Muntaha Afzaal,uuid:c7dc7a21-ccc2-4b50-85b4-0ad1e2c14a34,Muntaha Afazal
7265,09158,Tasleem Akhter,uuid:136054dc-5b2a-4525-92d0-fceaa7f0e339,Tasleem Akhtar
7268,09156,Sardar Shokat Ali Safdar,uuid:9afcafc4-a1bc-4f26-9a81-0f9af2219a5d,Sardar Shaoukat Ali
