id,uid,candidate_name,key,matched_name
10250,06902,Rana Muhammad Hayat Khan,uuid:6f91a8a8-8e1e-4a4e-a878-94fce7374a38,Hayat Khan
10252,06898,Muhammad Sabir Ali Qadri,uuid:501416ef-44ff-4c4c-8a66-c8ab72065e4b,Sabir Ali
10255,06905,Sardar Muhammad Atif Nakai,uuid:38e4260a-f6bf-4d82-b21e-c96ea35dad6a,Sardar Naki
10256,06900,Nazir Ahmed,uuid:9dead47c-0def-40dd-9a36-f0097a49484e,Nazir Ahmad
10257,06894,Ali Muqaddas,uuid:ac053e50-00c0-4368-a5bd-2bda9a41f996,Ali Muqadas
10258,06901,Rana Khizer Hayat,uuid:6e7edc80-2a9e-4e39-9b65-fd297898ca3a,Khizar
10261,06897,Muhammad Rehan,NA,NA
