id,uid,candidate_name,key,matched_name
6837,11045,ABDUL JABBAR,NA,NA
6840,11057,MUHAMMAD YOUNUS,NA,NA
6843,11051,GHULAM RASOOL,NA,NA
6846,11060,RASHID ALI,NA,NA
6849,11056,MUHAMMAD AIJAZ SHAIKH,NA,NA
6852,11061,SAIF UR REHMAN,NA,NA
6855,11046,AHMED HYDER,NA,NA
6859,11052,GHULAM RASOOL MEO,NA,NA
6863,11054,IMDAD HUSSAIN,NA,NA
6865,11053,GUL HASSAN MIRBEHAR,NA,NA
6867,11055,IRFAN MUHAMMAD KHAN,NA,NA
6869,11066,SYED RAZA UL HASSAN,NA,NA
6873,11063,SHAKEEL UR REHMAN,NA,NA
6875,11058,MUHAMMAD ZUBAIR MALIK,NA,NA
6876,11064,SYED AZHAR ALI SHAH,NA,NA
6877,11062,SHAFIQ AHMED,NA,NA
6878,11050,ASHRAF ALI,NA,NA
6879,11065,Syed Mazhar Kamal,NA,NA
6880,11059,RASHEED AHMED KHAN,NA,NA
