id,uid,candidate_name,key,matched_name
5379,10560,Ghazi ali khan jatoi,uuid:10a04f7b-a63d-4654-b551-34c267decfda,Razi Ali Khan Jatoi
5385,10579,Mumtaz ali chandio,NA,NA
5391,NA,Mr  Syed Zahid Ali Shah,uuid:b30c35b8-a2a1-42ff-b2a9-d5c678603c00,Syed Zahid Ali Shah
5394,NA,Mr  Khalid Hussain,uuid:be61da61-e7be-4350-ac5c-c13b1850fb02,Khalid Hussain
5397,NA,Mr  Amanullah,uuid:ae3ad143-a250-4f4c-9ceb-2e5a400b66a3,Amanullah
5400,NA,Ms  Huma Rajput,uuid:2c7bb1f6-af37-4d43-b588-1c194d28db0d,Huma Rajpoot
5402,10558,Allahando shah alias zafar ali shah,NA,NA
5404,NA,Mr  Mashoque Ali,uuid:a5b5663b-c941-40ea-b322-bb802eb5eb9b,Masgooque Ali
5406,10559,Aziz ahmed behan,NA,NA
5410,NA,Mr  Zuilfiqar Ali,uuid:6fa2d5aa-0c24-4d69-bb9b-23281421d8b5,Zulfiqar Ali
5411,NA,Mr  Muhammad Khan,uuid:1ba471b1-8cfc-4290-bc99-792a94b41de6,Muhammad Khan
5412,NA,Mr  Muhammad Afzal,uuid:5918951f-e993-4473-8dba-64a37bf12079,Muhammad Afzal
5415,NA,Mr  Abrar Hussain,uuid:8916068c-986b-4e7e-9a4e-5a94a7ddae06,Abrar Hussain
5417,NA,Mr  Sikandar Ali,uuid:d6b32cb6-9b6e-487d-a6a0-0d5ada694e46,Sikandar Ali
5418,NA,Mr  Amjad Hussain Rajper,uuid:2be55743-9597-4516-96ae-95f51607aeb3,Amjad Hussain Rajper
5419,NA,Mr  Muhammad Ishaque,uuid:ca8bcec6-0a3f-4997-818c-e8d0d7b8191d,Muhammad Ishaq
5420,NA,Mr  Lutuf Ali,uuid:3052e8f2-1290-4007-993a-b4250f2d6a78,Lutuf Sial
5422,NA,Mr  Munir Ahmed Mubejo,uuid:a7f903d1-ca24-4ed6-a01f-630b03d030a3,Munir Ahmad Mubejo
