id,uid,candidate_name,key,matched_name
8487,09612,SAEED GHANI,NA,NA
8491,09606,MANSOOR AHMED SHAIKH,NA,NA
8495,09619,ZAHID RASHEED,NA,NA
8497,09620,ZAHOOR UL HAQ,NA,NA
8501,09617,SHOUKAT ZAMAN KHAN,NA,NA
8505,09610,MUHAMMAD ZAHID JAWED,NA,NA
8507,09613,SALEEM MURAD,NA,NA
8511,09609,Muhammad Kamran Khan,NA,NA
8513,09614,SHAHEEN ADNAN,NA,NA
8515,09616,SHAISTA QAISER,NA,NA
8517,09618,TAJ MUHAMMAD,NA,NA
8519,09611,QAMAR AHMED KHAN,NA,NA
8521,09608,MUHAMMAD JAVEED,NA,NA
8522,09600,FARHAN GHANI,NA,NA
8523,09603,JAHANGIR KHAN,NA,NA
8524,09601,FARRUKH AHMED,NA,NA
8525,09607,MUHAMMAD ASLAM,NA,NA
8526,09599,CHOUDHRY MUHAMMAD NAWAZ OLAKH,NA,NA
8527,09598,BASHIR AHMED MANGNEJO,NA,NA
