id,uid,candidate_name,key,matched_name
3634,NA,FAZAL HAKIM KHAN YOUSAFZAI,uuid:7eed59bc-1c46-4019-b7b1-6fc214d6f752,Fazal Hakeem
3638,NA,MUHAMMAD AMIN,uuid:78935458-f574-4d32-9e61-bd039427bdf7,Muhhamad Amin
3650,NA,AMEER ZEB SHAHARYAR,uuid:71da13f7-dd09-4fc5-aae8-a33fbd93cb69,Amir Zeb Shahriyar
3654,NA,SHAWKAT ALI S O MUHAMMAD GHANI,uuid:cb072955-f19b-4272-a815-ce3293b7ba45,Shoakt Ali
3662,NA,SYED ASIF ALI SHAH,uuid:49a5bace-bc26-43d3-ace4-8b24bec268db,Asif Ali Shah
3666,NA,Arif ullah,NA,NA
3673,NA,SHAWKAT ALI S O TAJ MUHAMMAD,NA,NA
