id,uid,candidate_name,key,matched_name
4914,10445,Syed Masooque Muhiuddin Shah,uuid:20a191d5-bab2-4ed6-83b5-7bdc9df6d286,Mashoq Muhiudeen Shah
4938,10428,Aftab Ahmed Shar,uuid:5a3fd8aa-01b2-4315-b0c7-d168c315e690,Atab Ahmad Shar
4950,10444,Shafique Ahmed Shah,uuid:32c5a494-b948-48f4-a370-d67f9e7cc61d,Shafiq Ahmad Shah
4952,10439,Naseem Abbas Lashari,uuid:dde6ff88-6e95-4fff-8be1-e958f0b32e6f,Naseem Abbass Lashori
4954,10435,Ghulam Mustaffa,uuid:6f0f5532-16aa-41da-8227-68d6c43a2aba,Ghulam Mustafa
4958,10442,Rasheed Ahmed,NA,NA
