id,uid,candidate_name,key,matched_name
6584,10961,Naseer Ahmed,uuid:387fb610-a53a-4e4a-8f5e-eb4d6f2cfd99,Nasir Ahmad
6593,10956,Gul Sher,uuid:2876136c-b69c-4142-bbad-1927b7b22ae4,Gulsherkaka
6596,NA,Yasir Ahmed Shah,uuid:f9c212fe-5c49-4bc9-8e90-47112f57f4aa,Yasir Ahmad
6611,10963,Shamsuddin Memon,uuid:ae719b79-3595-49bc-9f92-7513ac9e96b5,Shamsudin Memon
6613,NA,Ameer Abbas Laghari,uuid:3bc1f1a4-5f39-4a71-820f-78b91127d79e,Aduocate Ameer
6615,NA,Muhammad Juman,uuid:042a7254-a980-4efd-839e-65f142460e98,Mohammad Jaman
