id,uid,candidate_name,key,matched_name
2518,01419,Syed Abrar Ali Shah,uuid:1022873b-98f4-4245-baad-cf2b7aceb408,Ibrar Shah
2519,01403,Allalahando Shah Alias Zafar Ali Shah,uuid:f407c4d6-4d3a-4d3e-830d-66fb97add30b,Allalahando Shah
2524,01409,Maqsood Ali Khushlk,uuid:79ffb1de-397f-4c27-a2f8-53e216c7b1f0,Maqsood Ali
2526,01402,Abdul Sattar Rajper,uuid:ff28a114-b1a9-4261-9bc2-2549c6411bf2,Abdul Sattar
2527,01405,Asghar Ali Shah,uuid:e69412e4-9f00-49e7-baa9-023d6b13bc5b,Asghar Ali
2531,01401,ABDUL GHAFFAR URF GHULAM MURTAZA,uuid:4768c287-f640-4d34-a618-5b8e1640e94f,Abdul Ghaffar Alias
2536,01404,Ameer Bux Rajper,uuid:0cf4ef45-bd55-4c51-98f9-6553a3508b42,Ameer Bux
2539,01408,Khalid Masood Channa,uuid:c8c1e0fc-5970-44d4-b395-d3826ec800d2,Khalid Masood
